網址,類型,耗時(ms),粉絲專頁追蹤數,貼文按讚數,貼文分享數,貼文所屬粉絲專頁追蹤數,社團成員數,貼文所屬社團成員數,帳號追蹤數,貼文所屬帳號追蹤數,數據來源,備註
https://www.facebook.com/share/1FCJHGZoVn/,fb_page,13264,,,,,,,,,text,not_found
https://www.facebook.com/share/17M49uEnR5/,fb_page,10912,,,,,,,,,text,not_found
https://www.facebook.com/TechOrange/posts/1245061314333266?rdid=MaPBVtQknzlxiksz#,fb_page,18397,,,,,,,,,text,not_found
https://www.facebook.com/share/v/1S67D9YJP7/,fb_post,18090,,,,,,,,,text,not_found
https://www.facebook.com/watch/?v=1143773194511717&rdid=eP9NXE8LHD8VBPl6,fb_page,10730,,,,,,,,,text,not_found
https://www.facebook.com/share/p/1Hix72LT2e/,fb_page,11102,,,,,,,,,text,not_found
https://www.facebook.com/groups/1813935948839125/permalink/4529940857238607/?rdid=90NQ8BQDhgLaeSO3#,fb_group,9909,,,,,,,,,text,not_found
https://www.facebook.com/share/v/1A9Ntz3k8Q/,fb_post,9492,,,,,,,,,text,not_found
https://www.facebook.com/watch/?v=2037791633699632&rdid=1GER9nCdZ8bWwH6z,fb_page,6748,,,,,,,,,text,not_found
https://www.facebook.com/share/p/1D1W2YwvMJ/,fb_page,10454,,,,,,,,,text,not_found
https://www.facebook.com/groups/3494771130751265/permalink/4321580211403682/?rdid=LHjz368c7NtmZWcz#,fb_group,7602,,,,,,,,,text,not_found
https://www.facebook.com/share/v/17MhoeCBLK/,fb_post,16299,,,,,,,,,,
https://www.facebook.com/61564650838712/videos/1405752940319599/?rdid=k4oRLOuNGI8mLbKL#,fb_page,11278,,,,,,,,,text,not_found
https://www.facebook.com/hersnailyuan,fb_page,11603,12000,,,,,,,,text,
https://www.instagram.com/hersnailyuan?igshid=YmMyMTA2M2Y%3D&fbclid=IwY2xjawNkgvdleHRuA2FlbQIxMABicmlkETE0ZlU5Q1lrUDVlTUZsdnlyAR45xzwOSNEk8bUkwmwLvFyfVHH9689Pq_BYXWPgAL8aLdwNSEy_tdVafYlgSA_aem_49wK3vUOY4BpQeutGyIt2Q,ig_profile,8329,,,,,,,260000,,text,
https://www.instagram.com/p/DE7AfJQJ6Ss/?img_index=1,ig_post,5525,,3395,,,,,,,text,
https://www.instagram.com/p/DE7AfJQJ6Ss/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,ig_post,5011,,3395,,,,,,,text,
https://www.instagram.com/p/DE7AfJQJ6Ss/?utm_source=ig_web_button_share_sheet&igsh=MzRlODBiNWFlZA==,ig_post,4631,,3395,,,,,,,text,
https://www.instagram.com/p/DP_apmFk4Wu/,ig_post,4227,,369,,,,,,,text,
https://www.instagram.com/reel/DP_apmFk4Wu/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,ig_profile,4263,,,,,,,,,text,requires_login
https://www.instagram.com/hersnailyuan?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,ig_profile,6995,,,,,,,260000,,text,
https://www.facebook.com/hersnailyuan/mentions,fb_page,6906,12000,,,,,,,,text,
https://www.facebook.com/hersnailyuan/live_videos,fb_page,7870,12000,,,,,,,,text,
https://www.facebook.com/photo/?fbid=1232085938938450&set=pb.100064111650453.-2207520000,fb_page,9109,,,,,,,,,text,not_found
https://www.facebook.com/share/p/17cWYoTQPo/?mibextid=wwXIfr,fb_page,10144,,,,,,,,,text,not_found
https://www.facebook.com/groups/1704458599779581/permalink/5307390156153056/?mibextid=wwXIfr&rdid=s8vsupFKMTgKqTO0&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2Fp%2F17cWYoTQPo%2F%3Fmibextid%3DwwXIfr#,fb_group,9464,,,,,,,,,text,not_found
https://www.facebook.com/share/1RDhK7mtYY/?mibextid=wwXIfr,fb_page,10674,,,,,,,,,text,not_found
https://www.facebook.com/photo.php?fbid=1387234192772611&set=a.666606608168710&type=3&mibextid=wwXIfr&rdid=j8aJdjRkl25NiPod&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1RDhK7mtYY%2F%3Fmibextid%3DwwXIfr#,fb_page,13053,,,,,,,,,text,not_found
https://www.facebook.com/share/p/19NTkoKuui/?mibextid=wwXIfr,fb_page,10719,,,,,,,,,text,not_found
https://www.facebook.com/groups/667611897482905/permalink/1846349482942468/?mibextid=wwXIfr&rdid=uiFOY780NTMnkouH&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2Fp%2F19NTkoKuui%2F%3Fmibextid%3DwwXIfr#,fb_group,16707,,,,,,,,,,
https://www.facebook.com/share/v/17gk4fh3aL/?mibextid=wwXIfr,fb_post,10262,,,,,,,,,text,not_found
https://www.facebook.com/meme.ttshow/videos/幫我吹一下/1195357542384815/?mibextid=wwXIfr&rdid=mx1wRdPZtRVFM4hS,fb_page,14293,,,,,,,,,text,not_found
https://www.facebook.com/share/p/1QhsvhqxKC/?mibextid=wwXIfr,fb_page,11103,,,,,,,,,text,not_found
https://www.facebook.com/groups/592850912909945/permalink/1189131896615174/?mibextid=wwXIfr&rdid=hsxG1Xtmh35dfvvV&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2Fp%2F1QhsvhqxKC%2F%3Fmibextid%3DwwXIfr#,fb_group,12679,,,,,,,,,text,not_found
https://www.facebook.com/share/17YUnYfuRh/?mibextid=wwXIfr,fb_page,13602,,,,,,,,,text,not_found
https://www.facebook.com/100064820420967/posts/1256338826536786/?mibextid=wwXIfr&rdid=RvZxjuOQvyDhEzO8#,fb_page,14297,,,,,,,,,text,not_found
https://www.facebook.com/share/1Cmt7QsSxP/?mibextid=wwXIfr,fb_page,13032,11000,,,,,,,,text,
https://www.facebook.com/share/1D9PTi7DtQ/?mibextid=wwXIfr,fb_page,11565,,,,,,,,,text,not_found
https://www.facebook.com/share/1BVwLq1Mx4/?mibextid=wwXIfr,fb_page,14208,10000,,,,,,,,text,
https://www.facebook.com/Alan.Lin727?mibextid=wwXIfr&rdid=ogsrDw2aXvOzrjxt&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1BVwLq1Mx4%2F%3Fmibextid%3DwwXIfr#,fb_page,13021,10000,,,,,,,,text,
https://www.facebook.com/share/p/14MAsz24PQ1/?,fb_page,12660,10,,,,,,,,text,
https://www.facebook.com/share/p/17UvGcShPZ/?,fb_page,12114,10,,,,,,,,text,
https://www.facebook.com/groups/coco888/permalink/3194109044092321/?rdid=hHXWAiF9ieq4PpmE&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2Fp%2F17UvGcShPZ%2F#,fb_group,10259,,,,,54000,,,,text,
https://www.facebook.com/groups/coco888/permalink/3199718876864671/?rdid=LIpbDU2hZFNxhXVu&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2Fp%2F1BSeUAR9YW%2F#,fb_group,8014,,,,,54000,,,,text,
https://www.facebook.com/share/p/1BSeUAR9YW/?,fb_page,12569,10,,,,,,,,text,
https://www.instagram.com/p/DPJxbSPkzMs/?igsh=eWI4MWp6MWhnMjI3,ig_post,6679,,1096,,,,,,,text,
https://www.instagram.com/reel/DP3mKoEk0nw/?igsh=MXg2M3ZuaGRuMjgzYw==,ig_profile,5483,,,,,,,,,text,requires_login
https://www.instagram.com/reel/DPxdi1oE28w/?igsh=YXN2Yzl3ajBuOTZj,ig_profile,5562,,,,,,,,,text,requires_login
https://www.instagram.com/xiao_xiao_54?igsh=bmthOXZubzVwcGU2,ig_profile,6140,,,,,,,40500,,text,
https://www.instagram.com/p/DOybv_6E_Cp/?igsh=YnUzb2d4eHdxcWho,ig_post,5468,,533,,,,,,,text,
https://www.instagram.com/p/DHv7j9RykgjYChICOJw52x-cST8L6BLAVfRHd00/?igsh=MW1manI3cHR0NTVsdg==,ig_post,4032,,,,,,,,,text,requires_login
https://www.instagram.com/wankipedia.54?igsh=MWpvZThncHQxbnYyNg==,ig_profile,6378,,,,,,,114000,,text,
https://www.instagram.com/wankipedia.54?igsh=MWpvZThncHQxbnYyNg%3D%3D,ig_profile,6274,,,,,,,114000,,text,
https://www.instagram.com/reel/DPuEnrWDQCD/?igsh=MTJ0cjhmbG56OHZlMg==,ig_profile,7020,,,,,,,,,text,requires_login
https://www.facebook.com/share/v/16w3tF1ML5/,fb_post,7726,,21000,,,,,,,text,
https://www.facebook.com/share/1EjLY3EfUn/,fb_page,12309,,,,,,,,,text,not_found
https://www.facebook.com/groups/365558191440967/?ref=share&mibextid=NSMWBT,fb_group,7686,,,,,121000,,,,text,
https://www.facebook.com/100044513796334/posts/327314628762328/?mibextid=rS40aB7S9Ucbxw6v,fb_page,17159,,,,,,,,,text,not_found
